Neighbourhood,assault 2014,assault 2015,assault 2016,assault 2017,assault 2018,assault 2019,assault 2020,assault 2021,assault 2022,assault 2023,autotheft 2014,autotheft 2015,autotheft 2016,autotheft 2017,autotheft 2018,autotheft 2019,autotheft 2020,autotheft 2021,autotheft 2022,autotheft 2023,biketheft 2014,biketheft 2015,biketheft 2016,biketheft 2017,biketheft 2018,biketheft 2019,biketheft 2020,biketheft 2021,biketheft 2022,biketheft 2023,breakenter 2014,breakenter 2015,breakenter 2016,breakenter 2017,breakenter 2018,breakenter 2019,breakenter 2020,breakenter 2021,breakenter 2022,breakenter 2023,homicide 2014,homicide 2015,homicide 2016,homicide 2017,homicide 2018,homicide 2019,homicide 2020,homicide 2021,homicide 2022,homicide 2023,robbery 2014,robbery 2015,robbery 2016,robbery 2017,robbery 2018,robbery 2019,robbery 2020,robbery 2021,robbery 2022,robbery 2023,shooting 2014,shooting 2015,shooting 2016,shooting 2017,shooting 2018,shooting 2019,shooting 2020,shooting 2021,shooting 2022,shooting 2023,theftfrommv 2014,theftfrommv 2015,theftfrommv 2016,theftfrommv 2017,theftfrommv 2018,theftfrommv 2019,theftfrommv 2020,theftfrommv 2021,theftfrommv 2022,theftfrommv 2023,theftover 2014,theftover 2015,theftover 2016,theftover 2017,theftover 2018,theftover 2019,theftover 2020,theftover 2021,theftover 2022,theftover 2023
Thorncliffe Park,87,106,89,100,93,121,98,118,114,128,13,12,5,9,13,15,20,16,33,55,10,5,15,10,3,8,15,17,16,10,34,27,24,19,24,28,41,35,53,49,3,1,1,4,0,0,2,0,0,0,16,10,16,9,4,13,5,14,19,12,1,1,1,2,3,8,9,3,3,4,26,17,30,25,30,27,26,34,61,33,9,6,11,9,4,5,4,0,10,8
O'Connor-Parkview,182,161,127,132,133,143,114,115,161,133,22,12,7,10,19,28,20,43,40,61,9,11,6,9,9,5,6,7,7,8,53,30,34,39,26,56,25,38,47,44,1,0,0,1,0,0,0,1,0,1,29,13,28,18,7,12,19,12,8,3,5,3,1,2,5,4,1,2,3,0,62,88,84,31,78,50,78,65,42,38,11,6,6,2,6,7,10,2,9,6
Henry Farm,62,63,73,74,76,86,87,99,96,107,14,12,10,15,16,23,21,33,31,67,4,2,1,3,1,6,12,19,7,8,38,26,12,28,22,39,33,24,36,25,0,1,0,1,1,0,0,0,0,1,7,6,6,12,10,7,6,8,12,13,0,4,0,1,2,4,3,0,2,0,58,37,44,23,24,84,40,100,83,89,4,3,1,9,5,13,6,6,10,10
Bayview Village,83,106,78,60,62,70,70,71,120,137,25,14,14,21,9,38,29,42,61,96,8,11,25,12,15,9,46,11,7,17,47,34,33,40,50,37,30,29,30,66,0,0,0,0,1,0,1,0,0,0,3,5,11,9,6,15,18,4,10,9,0,1,0,0,1,1,1,3,5,2,85,23,42,30,30,52,59,45,68,115,8,9,5,7,7,12,12,9,6,18
Newtonbrook East,76,76,94,81,86,85,60,85,81,87,15,8,8,11,14,28,39,43,59,75,9,8,9,9,6,7,1,8,9,8,36,50,42,56,64,53,38,27,38,36,0,1,1,0,1,0,0,0,0,1,8,8,10,19,7,10,15,9,9,20,0,0,2,0,1,0,1,1,4,1,22,33,26,39,34,58,46,33,46,43,1,6,5,9,4,9,10,8,9,15
Bayview Woods-Steeles,35,43,37,31,43,47,33,27,40,60,16,7,18,21,7,21,16,27,14,34,2,3,1,2,1,2,3,1,0,3,22,34,33,39,29,21,33,10,10,27,0,0,0,0,0,1,0,0,0,0,7,1,0,4,6,6,2,2,2,7,0,0,1,0,3,3,1,0,0,0,23,14,15,6,29,22,33,27,19,33,4,1,1,3,2,2,2,2,4,1
Hillcrest Village,65,58,40,52,70,68,50,44,41,68,11,10,22,18,25,27,23,40,16,73,4,4,3,7,8,9,0,4,0,2,35,48,34,31,42,35,18,20,31,40,0,0,0,0,0,1,0,1,0,0,17,7,15,27,17,17,14,9,32,13,1,0,0,1,1,2,0,1,1,1,27,46,21,20,37,46,30,56,44,42,6,5,2,4,8,6,8,4,5,8
Alderwood,44,47,39,21,30,36,37,27,43,44,9,18,17,16,25,15,28,31,68,48,5,2,3,4,9,5,8,0,12,2,18,28,26,23,23,26,43,17,42,20,1,0,0,0,0,0,0,0,3,0,8,6,10,6,8,5,12,2,7,8,1,0,0,0,0,1,0,0,1,0,37,45,45,17,20,54,47,47,31,16,7,3,10,7,7,7,5,4,8,8
Long Branch,64,67,60,65,57,59,70,95,90,96,9,15,13,14,11,11,24,41,33,37,12,10,10,17,35,11,8,11,30,16,24,33,28,27,39,29,34,15,33,27,0,0,0,0,0,0,0,1,0,0,14,14,6,14,10,30,16,1,7,7,0,0,0,3,0,0,0,3,0,0,45,52,19,42,16,44,42,39,30,19,2,4,0,3,3,1,4,3,5,2
New Toronto,86,103,98,101,105,108,87,116,163,168,9,13,10,12,12,23,21,15,42,38,7,12,6,9,35,9,16,9,21,9,24,42,42,26,21,25,41,18,24,38,0,0,1,0,2,0,0,0,0,0,19,21,19,23,20,17,11,14,16,16,1,1,1,3,1,2,4,3,0,1,20,43,32,21,37,42,40,24,48,36,2,5,5,1,1,2,5,5,7,5
Stonegate-Queensway,95,73,81,105,88,91,109,82,104,137,39,32,14,35,34,36,49,70,141,148,10,20,12,8,12,11,13,5,10,7,70,45,49,50,39,64,35,30,44,101,0,0,0,0,0,0,0,1,0,2,23,15,16,26,27,24,20,19,7,18,3,2,0,0,1,2,0,0,0,1,95,61,52,58,79,73,98,59,107,69,8,8,4,6,8,4,5,7,9,11
